,Uni,N,Type,Year
1,Saint Marys,2,University,2016
2,Dalhousie,2,University,2016
4,University of Toronto,1,University,2016
5,University of Saskatchewan,1,University,2017
6,University of Ottawa,1,University,2017
7,College D'etudes Osteopathique,1,College,2017
8,Mount Saint Vincent,1,University,2018
9,Dalhousie,2,University,2018
10,Nova Scotia Community College,1,College,2018
11,Dalhousie,5,University,2019
12,Mentia,1,Corporation,2019
13,Dalhousie,6,University,2020
14,Axtion,1,Corporation,2021
15,Simon Fraser,1,University,2021
16,Dalhousie,3,University,2021
17,Dalhousie,1,University,2022
18,Carleton University,1,University,2022
